10.628550466677122	KLF7
9.94436220149603	KLF5
9.601978090355605	SP4
9.388317356553765	KLF1
8.986220302566268	SP2
8.980057635930343	KLF10
8.31398568595103	KLF12
8.134971768577138	ETV6
-7.912552752155137	HIC2
7.665245076368537	SP1
7.492636298921208	ELF5
6.987014329659811	KLF15
6.907718860515458	ETV4
6.679683603985255	ETS2
6.536372356307888	ERG
6.528314802750618	TFE3
6.068862791570602	ETS1
5.742957506617555	NFATC3
-5.729303676057702	SNAI1
5.288767612088983	ELK4
5.234715793156887	ETV7
-5.211591003493384	TBX5
-5.125115832830218	RHOXF1
4.931136369799539	FLI1
4.818010623120953	ELK1
4.743311337512783	GABPA
4.6931828981844275	NR2C1
4.601034804290059	FOXP3
4.57452720957782	ETV5
4.431013984502391	ETV3
